Public ID,Availability,Organization,System Name,Accelerator Model Name,Accelerators Per Node,Host Processor Model Name,Host Processors Per Node,Benchmark,Model MLC,Units (copy),Units,Accelerator Model Name,Accelerators Per Node,Accuracy,Availability,Host Processor Core Count,Host Processor Model Name,Number Of Nodes,Units,Avg. Result at System Name,Total Accelerators
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"14,534.86",8
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),36.178,8
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"4,722.79",8
4.0-0094,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),12.262,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,bert,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"1,843.07",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,bert,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),5.387,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,dlrm_dcnv2,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"1,309.82",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,dlrm_dcnv2,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),3.836,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,llama2_70b_lora,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"12,127.90",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,llama2_70b_lora,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),29.101,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"5,671.89",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),13.425,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"15,304.27",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),37.183,8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,kJ,"4,856.98",8
4.0-0090,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,1,Latency (In minutes),12.262,8
